제목,URL,요약,언론사,작성일시
30억 자산의 비결…전원주가 10년 넘게 보유한 '이 주식',https://finance.naver.com/news/news_read.naver?article_id=0012466918&office_id=003&mode=LSS2D&type=0§ion_id=101§ion_id2=258§ion_id3=&date=20240402&page=1,황진현 인턴 기자 = SK하이닉스 주가가 연일 치솟자 연예계 주식 고수로 통하는 전원주씨 사연이 온라인상에서 재조명 받고있다. 2일 온라인 커뮤...뉴시스|2024-04-02 16:24,뉴시스,2024-04-02 16:24
[마켓뷰] 외국인의 삼성전자 편애… 하루 만에 1조원 담았다,https://finance.naver.com/news/news_read.naver?article_id=0000982726&office_id=366&mode=LSS2D&type=0§ion_id=101§ion_id2=258§ion_id3=&date=20240402&page=1,"삼성전자, 3년 만에 시가총액 500조원 돌파 코스닥, 제약·바이오 부진 속 900선 내줘 외국인 투자자의 수급이 주가를 좌우하는 장세가 이어졌...조선비즈|2024-04-02 16:22",조선비즈,2024-04-02 16:22
"현대차, 5년 만에 신용등급 AAA급 회복",https://finance.naver.com/news/news_read.naver?article_id=0005165736&office_id=014&mode=LSS2D&type=0§ion_id=101§ion_id2=258§ion_id3=&date=20240402&page=1,현대자동차가 5년 만에 신용등급 최고 수준인 AAA를 되찾았다. 나이스신용평가는 2일 현대자동차의 장기신용등급을 AA+에서 AAA로 상향 조정한다고 밝혔다. 국내 신용평가...파이낸셜뉴스|2024-04-02 16:19,파이낸셜뉴스,2024-04-02 16:19
"미래산업, '넵콘 상하이' 전자부품 박람회 참가…글로벌 시장 공략",https://finance.naver.com/news/news_read.naver?article_id=0000825379&office_id=031&mode=LSS2D&type=0§ion_id=101§ion_id2=258§ion_id3=&date=20240402&page=1,반도체 후공정 검사장비 제조 전문기업 미래산업은 4월 말 중국 상해에서 개최되는 전자부품 박람회인 '넵콘 상하이(Nepcon Shanhai) 2...아이뉴스24|2024-04-02 16:19,아이뉴스24,2024-04-02 16:19
"삼성전자 웃고 현대차·기아 울고…실적이 가른 주가, 차별화 이어진다",https://finance.naver.com/news/news_read.naver?article_id=0005020519&office_id=008&mode=LSS2D&type=0§ion_id=101§ion_id2=258§ion_id3=&date=20240402&page=1,실적이 주가를 갈랐다. 1분기 호실적이 예상되는 삼성전자는 강세였던 반면 실적 부진 우려가 나온 현대차와 카카오 등은 큰 폭의 조정을 보였다. ...머니투데이|2024-04-02 16:18,머니투데이,2024-04-02 16:18
"신한투자증권, 투자조합 수탁업무 자동·표준화한 ‘벤처넷’ 오픈",https://finance.naver.com/news/news_read.naver?article_id=0002170417&office_id=138&mode=LSS2D&type=0§ion_id=101§ion_id2=258§ion_id3=&date=20240402&page=1,신한투자증권은 지난달 25일 증권업계 최초로 GP(무한책임사원)-한국예탁결제원(이하 예탁결제원)-수탁자 3자간 네트워크를 연계해 투자조합의 수탁...디지털데일리|2024-04-02 16:17,디지털데일리,2024-04-02 16:17
"[뉴스속 용어]AI 주도권 꿰찼다, ‘팹4’",https://finance.naver.com/news/news_read.naver?article_id=0005400736&office_id=277&mode=LSS2D&type=0§ion_id=101§ion_id2=258§ion_id3=&date=20240402&page=1,최근 미국 증시에서 매그니피센트7(M7)에서 분화한 ‘팹4’가 주도주로 주목받고 있다. 팹은 반도체 제조공장을 뜻하는 패브리케이션(Fabrica...아시아경제|2024-04-02 16:16,아시아경제,2024-04-02 16:16
"코스피, 외국인 순매수에 강보합…코스닥은 900선 붕괴",https://finance.naver.com/news/news_read.naver?article_id=0005400735&office_id=277&mode=LSS2D&type=0§ion_id=101§ion_id2=258§ion_id3=&date=20240402&page=1,코스피지수가 외국인의 순매수세에 힘입어 강보합권에서 장을 마감했다. 2일 코스피지수는 전일 대비 5.3포인트(0.19%) 상승한 2753.16에...아시아경제|2024-04-02 16:15,아시아경제,2024-04-02 16:15
[마감 시황] '외국인 1조 순매수 vs 개인·기관 차익 실현' 코스피 엎치락뒤치락,https://finance.naver.com/news/news_read.naver?article_id=0004322244&office_id=011&mode=LSS2D&type=0§ion_id=101§ion_id2=258§ion_id3=&date=20240402&page=1,코스피가 2일 강보합세를 보이며 2750선을 회복했다. 한국거래소에 따르면 이날 코스피는 전장보다 5.30포인트(0.19%) 오른 2753.16...서울경제|2024-04-02 16:15,서울경제,2024-04-02 16:15
"환율 1350원도 뚫었다…""이거 어디까지 올라가는 거예요?"" [한경 외환시장 워치]",https://finance.naver.com/news/news_read.naver?article_id=0004967756&office_id=015&mode=LSS2D&type=0§ion_id=101§ion_id2=258§ion_id3=&date=20240402&page=1,원·달러 환율이 1350원대까지 상승(원화 가치는 하락)하면서 연중 최고점을 돌파했다. 미국의 경제지표 호조가 재확인되면서 글로벌 달러화가 강세...한국경제|2024-04-02 16:11,한국경제,2024-04-02 16:11
판매량 줄었다고?…킹달러에 현기차는 웃는다,https://finance.naver.com/news/news_read.naver?article_id=0005020509&office_id=008&mode=LSS2D&type=0§ion_id=101§ion_id2=258§ion_id3=&date=20240402&page=1,현기차(현대차·기아)가 1분기 판매량 감소라는 부진한 성적표를 받아들였다. 밸류업 프로그램에 대한 기대감으로 올랐던 주가도 박스권에 머물고 있다...머니투데이|2024-04-02 16:11,머니투데이,2024-04-02 16:11
"외국인 홀로 '1조 쇼핑'…삼성전자, 3년 만에 시총 500조 돌파[핫종목]",https://finance.naver.com/news/news_read.naver?article_id=0007453598&office_id=421&mode=LSS2D&type=0§ion_id=101§ion_id2=258§ion_id3=&date=20240402&page=1,삼성전자(005930)가 4% 강세를 나타내면서 약 3년 만에 8만5000원선을 기록했다. 시가총액은 500조 원을 돌파했다. 2일 삼성전자는 ...뉴스1|2024-04-02 16:09,뉴스1,2024-04-02 16:09
삼성전자 3%대 급등에 코스피 2750선…코스닥은 900선 붕괴[시황종합],https://finance.naver.com/news/news_read.naver?article_id=0007453589&office_id=421&mode=LSS2D&type=0§ion_id=101§ion_id2=258§ion_id3=&date=20240402&page=1,국내 증시가 혼조세로 마감했다. 대장주 삼성전자(005930)가 하루 만에 4% 가까이 오르면서 코스피는 강보합권을 유지했고 코스닥은 장중 하락...뉴스1|2024-04-02 16:08,뉴스1,2024-04-02 16:08
“달리는 말 올라탈 만하네” ··· 모멘텀 ETF 수익률 질주,https://finance.naver.com/news/news_read.naver?article_id=0005282145&office_id=009&mode=LSS2D&type=0§ion_id=101§ion_id2=258§ion_id3=&date=20240402&page=1,오르는 주식에 베팅하는 전략 국내외 대세 상승장에서 주효 “위험도 커 이익증가 고려해야” ‘달리는 말에 올라타라.’ 주가가 오르기 시작하면 관성...매일경제|2024-04-02 16:08,매일경제,2024-04-02 16:08
"유니드비티플러스, 20억 규모 자사주 취득 신탁계약 체결",https://finance.naver.com/news/news_read.naver?article_id=0002289521&office_id=016&mode=LSS2D&type=0§ion_id=101§ion_id2=258§ion_id3=&date=20240402&page=1,유니드비티플러스는 주주가치 제고 및 임직원 성과 보상을 위해 삼성증권과 20억원 규모의 자사주 취득 신탁계약을 체결했다고 2일 공시했다. 계약기간은 오는 8일부터 10월 ...헤럴드경제|2024-04-02 16:08,헤럴드경제,2024-04-02 16:08
"""내가 제일 잘 나가""…대장주의 화려한 귀환",https://finance.naver.com/news/news_read.naver?article_id=0001155771&office_id=215&mode=LSS2D&type=0§ion_id=101§ion_id2=258§ion_id3=&date=20240402&page=1,8만 전자를 넘어선 삼성전자가 오늘은 3% 넘게 상승하는 등 강세를 보였다. 코스피 시가총액 상위 10개 기업이 대부분 주가 부진을 기록한 가운...한국경제TV|2024-04-02 16:07,한국경제TV,2024-04-02 16:07
